src/Sekiban.Infrastructure.Azure.Storage.Blobs/Sekiban.Infrastructure.Azure.Storage.Blobs.csproj	-	net8.0;net9.0
src/Sekiban.Infrastructure.Cosmos/Sekiban.Infrastructure.Cosmos.csproj	-	net8.0;net9.0
src/Sekiban.Infrastructure.Dynamo/Sekiban.Infrastructure.Dynamo.csproj	-	net8.0;net9.0
src/Sekiban.Infrastructure.IndexedDb/Sekiban.Infrastructure.IndexedDb.csproj	-	net8.0;net9.0
src/Sekiban.Infrastructure.Postgres.MigrationHost/Sekiban.Infrastructure.Postgres.MigrationHost.csproj	net9.0	-
src/Sekiban.Infrastructure.Postgres/Sekiban.Infrastructure.Postgres.csproj	-	net8.0;net9.0
src/Sekiban.Testing/Sekiban.Testing.csproj	-	net8.0;net9.0
src/Sekiban.Web/Sekiban.Web.csproj	-	net8.0;net9.0
tests/AotTechnicalTesting/AotTechnicalTesting.csproj	net9.0	-
tests/FeatureCheck.Test/FeatureCheck.Test.csproj	-	net8.0;net9.0
tests/MemStat.Net.Test/MemStat.Net.Test.csproj	net9.0	-
tests/Mixed.Test/Mixed.Test.csproj	-	net8.0;net9.0
tests/MultiTenant.AggregateTest/MultiTenant.AggregateTest.csproj	-	net8.0;net9.0
tests/Sekiban.Test.Abstructs/Sekiban.Test.Abstructs.csproj	-	net8.0;net9.0
tests/Sekiban.Test.CosmosDb/Sekiban.Test.CosmosDb.csproj	-	net8.0;net9.0
tests/Sekiban.Test.Dynamo/Sekiban.Test.Dynamo.csproj	-	net8.0;net9.0
tests/Sekiban.Test.IndexedDb/Sekiban.Test.IndexedDb.csproj	-	net8.0;net9.0
tests/Sekiban.Test.Postgres/Sekiban.Test.Postgres.csproj	-	net8.0;net9.0
tools/ConvertAndCopyCosmosItems/ConvertAndCopyCosmosItems.csproj	net8.0	-
tools/ProjectionFromJsonL/ProjectionFromJsonL.csproj	net9.0	-
