run_test.yml	regularDynamo	Test dotnet tests/Sekiban.Test.Dynamo .NET8	dotnet test tests/Sekiban.Test.Dynamo/Sekiban.Test.Dynamo.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net8.0	net8.0
run_test.yml	regularDynamo	Test dotnet tests/Sekiban.Test.Dynamo .NET9	dotnet test tests/Sekiban.Test.Dynamo/Sekiban.Test.Dynamo.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net9.0	net9.0
run_test.yml	regularIndexedDb	Restore dependencies	dotnet restore Sekiban.sln	-
run_test.yml	regularIndexedDb	Test Build	dotnet build Sekiban.sln -c Release	-
run_test.yml	regularIndexedDb	Test dotnet tests/Sekiban.Test.IndexedDb .NET8	dotnet test tests/Sekiban.Test.IndexedDb/Sekiban.Test.IndexedDb.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net8.0	net8.0
run_test.yml	regularIndexedDb	Test dotnet tests/Sekiban.Test.IndexedDb .NET9	dotnet test tests/Sekiban.Test.IndexedDb/Sekiban.Test.IndexedDb.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net9.0	net9.0
run_test.yml	regularMultitenant	Restore dependencies	dotnet restore Sekiban.sln	-
run_test.yml	regularMultitenant	Test Build	dotnet build Sekiban.sln -c Release	-
run_test.yml	regularMultitenant	Test dotnet tests/MultiTenant.AggregateTest .NET8	dotnet test tests/MultiTenant.AggregateTest/MultiTenant.AggregateTest.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net8.0	net8.0
run_test.yml	regularMultitenant	Test dotnet tests/MultiTenant.AggregateTest .NET9	dotnet test tests/MultiTenant.AggregateTest/MultiTenant.AggregateTest.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net9.0	net9.0
run_test.yml	regularPostgres	Restore dependencies	dotnet restore Sekiban.sln	-
run_test.yml	regularPostgres	Test Build	dotnet build Sekiban.sln -c Release	-
run_test.yml	regularPostgres	Test dotnet tests/Sekiban.Test.Postgres .NET8	dotnet test tests/Sekiban.Test.Postgres/Sekiban.Test.Postgres.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net8.0	net8.0
run_test.yml	regularPostgres	Test dotnet tests/Sekiban.Test.Postgres .NET9	dotnet test tests/Sekiban.Test.Postgres/Sekiban.Test.Postgres.csproj --filter "Category!=Flaky&Category!=Performance" -v m -c Release -m:1 -f net9.0	net9.0
